,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
0,98000030,20655000,Bronze,0,0,11,1,38.46875,Male,25-34 Years,HN,Gift to Others,Individual,0
1,13484932,27830000,Silver,1,0,5,0,46.42857143,Female,18-24 Years,HCM,For Self,Individual,1
2,92000058,43576000,Silver,2,1,6,8,290.1428571,Male,Unknown,HN,For Self,Individual,0
3,193000015,22744500,Bronze,0,0,10,3,127.7,Female,Unknown,HN,For Self,Individual,0
4,199000026,24720000,Silver,1,0,4,0,15.75,Female,Unknown,HCM,For Self,Individual,1
5,1071002083,21766000,Silver,1,0,4,1,73.5,Male,45-54 Years,HN,Gift to Others,Individual,1
6,1075025850,80700000,Gold,2,0,3,0,2.0,Male,45-54 Years,HN,Gift to Others,Individual,1
7,1085018964,34824500,Silver,1,0,4,9,376.5,Male,35-44 Years,HN,For Self,Individual,0
8,1088025569,67047000,Gold,2,0,17,0,29.36842105,Male,35-44 Years,HN,Gift to Others,Individual,1
9,1090029014,23990000,Silver,1,0,3,0,70.0,Male,25-34 Years,HN,For Self,Individual,1
10,1091006426,69521000,Gold,2,0,4,0,106.25,Male,25-34 Years,HN,Gift to Others,Individual,1
11,1091014957,31520000,Silver,1,0,2,0,1.0,Male,25-34 Years,HN,Unknown,Unknown,1
12,1093003522,48040000,Silver,1,0,2,0,515.0,Female,25-34 Years,HN,Gift to Others,Individual,0
13,1093021511,44603000,Silver,1,0,4,7,155.75,Male,25-34 Years,HN,Gift to Others,Individual,0
14,1094003534,28190000,Silver,1,0,4,2,63.75,Female,25-34 Years,HN,For Self,Individual,0
15,1094019025,22010000,Silver,1,0,2,0,9.0,Male,Unknown,HN,Gift to Others,Individual,1
16,1095008966,20743000,Silver,1,0,2,0,28.5,Male,25-34 Years,HCM,Gift to Others,Individual,1
17,1095017609,21516000,Silver,1,0,3,0,75.33333333,Male,25-34 Years,HN,Gift to Others,Individual,1
18,1096004819,59318500,Silver,1,0,3,5,220.0,Male,18-24 Years,HN,Gift to Others,Individual,0
19,1098000841,43533000,Silver,1,0,6,1,127.8333333,Male,25-34 Years,HN,Gift to Others,Individual,0
20,1098030002,29580000,Silver,1,0,5,6,24.6,Male,25-34 Years,HN,Gift to Others,Individual,0
21,1099027290,21840000,Silver,1,0,2,0,151.0,Male,18-24 Years,HN,Gift to Others,Individual,1
22,1160010985,39428000,Gold,1,0,3,0,34.33333333,Female,45-54 Years,HCM,For Self,Individual,1
23,1164000899,54530000,Bronze,1,1,2,9,534.5,Female,35-44 Years,HN,For Self,Individual,1
24,1168007913,28319000,Silver,1,0,5,0,39.6,Female,25-34 Years,HN,For Self,Individual,1
25,1169018147,26304000,Silver,1,0,4,10,94.25,Female,More than 55,HN,Gift to Others,Individual,0
26,1170002497,20170000,Silver,1,0,4,0,25.75,Female,35-44 Years,HN,For Self,Unknown,1
27,11700026646,29803800,Silver,1,0,2,0,14.0,Female,Unknown,HCM,For Self,Individual,1
28,1170003961,65091000,Silver,1,0,4,0,110.25,Female,35-44 Years,HN,For Self,Individual,1
29,1170005239,24440000,Silver,1,0,2,0,82.0,Female,35-44 Years,HN,For Self,Individual,1
30,1170015374,21800000,Silver,1,0,2,0,1.5,Female,35-44 Years,HN,For Self,Unknown,1
31,117008886,33425000,Silver,1,0,2,0,235.5,Female,25-34 Years,HN,For Self,Individual,1
32,1171002229,23700000,Silver,1,0,2,0,8.0,Female,35-44 Years,HN,For Self,Individual,1
